2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AA,AA,AA,AA,AXP,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL
AXP,AXP,AXP,AXP,BA,AXP,AXP,AXP,AXP,AXP,AXP
BA,BA,BA,BA,CAT,BA,BA,BA,BA,BA,BA
BAC,BAC,BAC,BAC,CSCO,CAT,CAT,CAT,CAT,CAT,CAT
CAT,CAT,CAT,CAT,CVX,CSCO,CSCO,CSCO,CSCO,CSCO,CSCO
CSCO,CSCO,CSCO,CSCO,DD,CVX,CVX,CVX,CVX,CVX,CVX
CVX,CVX,CVX,CVX,DIS,DD,DD,DD,DD,DD,DOW
DD,DD,DD,DD,GE,DIS,DIS,DIS,DIS,DIS,DIS
DIS,DIS,DIS,DIS,GS,GE,GE,GE,GE,GS,GS
GE,GE,GE,GE,HD,GS,GS,GS,GS,HD,HD
HD,HD,HD,HD,IBM,HD,HD,HD,HD,IBM,IBM
HPQ,HPQ,HPQ,HPQ,INTC,IBM,IBM,IBM,IBM,INTC,INTC
IBM,IBM,IBM,IBM,JNJ,INTC,INTC,INTC,INTC,JNJ,JNJ
INTC,INTC,INTC,INTC,JPM,JNJ,JNJ,JNJ,JNJ,JPM,JPM
JNJ,JNJ,JNJ,JNJ,KO,JPM,JPM,JPM,JPM,KO,KO
JPM,JPM,JPM,JPM,MCD,KO,KO,KO,KO,MCD,MCD
KFT,KFT,KFT,KO,MMM,MCD,MCD,MCD,MCD,MMM,MMM
KO,KO,KO,MCD,MRK,MMM,MMM,MMM,MMM,MRK,MRK
MCD,MCD,MCD,MMM,MSFT,MRK,MRK,MRK,MRK,MSFT,MSFT
MMM,MMM,MMM,MRK,NKE,MSFT,MSFT,MSFT,MSFT,NKE,NKE
MRK,MRK,MRK,MSFT,PFE,NKE,NKE,NKE,NKE,PFE,PFE
MSFT,MSFT,MSFT,PFE,PG,PFE,PFE,PFE,PFE,PG,PG
PFE,PFE,PFE,PG,T,PG,PG,PG,PG,TRV,TRV
PG,PG,PG,T,TRV,TRV,TRV,TRV,TRV,UNH,UNH
T,T,T,TRV,UNH,UNH,UNH,UNH,UNH,UTX,UTX
TRV,TRV,TRV,UNH,UTX,UTX,UTX,UTX,UTX,V,V
UTX,UTX,UTX,UTX,V,V,V,V,V,VZ,VZ
VZ,VZ,VZ,VZ,VZ,VZ,VZ,VZ,VZ,WBA,WBA
WMT,WMT,WMT,WMT,WMT,WMT,WMT,WMT,WMT,WMT,WMT
XOM,XOM,XOM,XOM,XOM,XOM,XOM,XOM,XOM,XOM,XOM